"","Scenario_ID","K","m","betas","rho0s","rho1","rho2","varYs","1a. P-Value Bonf. (mean)","1a. P-Value Bonf. (true)","1b. P-Value Sidak (mean)","1b. P-Value Sidak (true)","1c. P-Value DAP (mean)","1c. P-Value DAP (true)","2. Combined (mean)","2. Combined (true)","3. Single Weighted (mean)","3. Single Weighted (true)","4a. Disjunctive F (mean)","4a. Disjunctive F (true)","4b. Disjunctive Chi2 (mean)","4b. Disjunctive Chi2 (true)","5a. Conjunctive T (mean)","5a. Conjunctive T (true)","5b. Conjunctive MVN (mean)","5b. Conjunctive MVN (true)"
"1",2,8,60,"(0.2, 0.2)","(0.05, 0.1)",0.005,0.2,"(1, 1)",16.82,14.45,16.92,14.56,18.01,15.82,50.55,43.69,56.11,45.66,48.62,29.59,56.14,36.94,20.79,15.53,22.17,16.3
"2",8,8,60,"(0.2, 0.2)","(0.05, 0.1)",0.005,0.5,"(1, 1)",16.82,14.45,16.92,14.56,19.76,17.89,48.35,41.97,53.32,43.81,46.57,28.36,53.9,35.38,20.89,16.25,22.27,17.12
"3",6,8,60,"(0.2, 0.2)","(0.1, 0.05)",0.005,0.2,"(1, 1)",16.74,14.45,16.83,14.56,17.9,15.82,49.94,43.69,54.77,45.66,47.71,29.59,55.08,36.94,20.66,15.51,22.01,16.3
"4",12,8,60,"(0.2, 0.2)","(0.1, 0.05)",0.005,0.5,"(1, 1)",17.96,14.45,18.05,14.56,20.92,17.89,49.8,41.97,54.69,43.81,47.66,28.36,55.03,35.38,22.14,16.25,23.57,17.12
"5",4,8,60,"(0.2, 0.2)","(0.1, 0.1)",0.005,0.2,"(1, 1)",12.96,14.45,13.04,14.56,13.99,15.82,44.32,36.39,48.53,36.39,41.67,22.83,48.46,28.28,15.51,11.01,16.46,11.22
"6",10,8,60,"(0.2, 0.2)","(0.1, 0.1)",0.005,0.5,"(1, 1)",13.89,14.45,13.98,14.56,16.6,17.89,44.99,35.2,49.27,35.2,42.49,22.08,49.64,27.3,16.83,11.52,17.9,11.79
"7",1,8,60,"(0.2, 0.4)","(0.05, 0.1)",0.005,0.2,"(1, 1)",28.46,24.76,28.58,24.91,29.96,26.64,73.03,77.08,74.06,75.42,66.26,56.15,73.86,67.91,35.86,33.59,38.33,36.68
"8",7,8,60,"(0.2, 0.4)","(0.05, 0.1)",0.005,0.5,"(1, 1)",28.76,24.76,28.89,24.91,32.48,29.39,72.31,75.03,73.19,73.27,65.63,54.16,73.25,65.8,36.54,34.25,39.05,37.38
"9",5,8,60,"(0.2, 0.4)","(0.1, 0.05)",0.005,0.2,"(1, 1)",25.28,14.45,25.4,14.56,26.66,15.82,72.91,77.08,80.51,82.75,76.71,72.42,83.35,83.53,33.55,27.94,35.76,30.27
"10",11,8,60,"(0.2, 0.4)","(0.1, 0.05)",0.005,0.5,"(1, 1)",26.32,14.45,26.44,14.56,29.77,17.89,73.31,75.03,80.4,80.81,77.31,71.19,83.97,82.46,35.31,28.19,37.64,30.52
"11",3,8,60,"(0.2, 0.4)","(0.1, 0.1)",0.005,0.2,"(1, 1)",22.58,14.45,22.69,14.56,23.94,15.82,66.79,67.62,70.37,67.62,63.36,51.33,71.03,62.74,28.63,23.39,30.62,25.25
"12",9,8,60,"(0.2, 0.4)","(0.1, 0.1)",0.005,0.5,"(1, 1)",22.78,14.45,22.9,14.56,26.14,17.89,66.96,65.89,69.96,65.89,63.37,50.1,71.3,61.37,29.54,23.83,31.57,25.72
