"","Scenario_ID","K","m","betas","rho0s","rho1","rho2","varYs","1a. P-Value Bonf.","1b. P-Value Sidak","1c. P-Value DAP","2. Combined","3. Single Weighted","4a. Disjunctive F","4b. Disjunctive Chi2","5b. Conjunctive MVN","5a. Conjunctive T"
"1",1,8,60,"(0, 0)","(0.05, 0.1)",0.005,0.2,"(1, 1)",0.091,0.092,0.106,0.132,0.144,0.065,0.021,0.074,0.06
"2",10,8,60,"(0, 0)","(0.05, 0.1)",0.005,0.5,"(1, 1)",0.095,0.096,0.119,0.119,0.132,0.068,0.028,0.073,0.06
"3",7,8,60,"(0, 0)","(0.1, 0.05)",0.005,0.2,"(1, 1)",0.112,0.114,0.12,0.144,0.162,0.081,0.027,0.076,0.064
"4",16,8,60,"(0, 0)","(0.1, 0.05)",0.005,0.5,"(1, 1)",0.092,0.094,0.124,0.121,0.138,0.066,0.023,0.074,0.058
"5",4,8,60,"(0, 0)","(0.1, 0.1)",0.005,0.2,"(1, 1)",0.102,0.103,0.111,0.145,0.162,0.076,0.021,0.074,0.061
"6",13,8,60,"(0, 0)","(0.1, 0.1)",0.005,0.5,"(1, 1)",0.1,0.1,0.124,0.133,0.147,0.068,0.029,0.063,0.048
"7",2,8,60,"(0, 0.25)","(0.05, 0.1)",0.005,0.2,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.078,0.065
"8",11,8,60,"(0, 0.25)","(0.05, 0.1)",0.005,0.5,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.072,0.056
"9",8,8,60,"(0, 0.25)","(0.1, 0.05)",0.005,0.2,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.07,0.056
"10",17,8,60,"(0, 0.25)","(0.1, 0.05)",0.005,0.5,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.075,0.06
"11",5,8,60,"(0, 0.25)","(0.1, 0.1)",0.005,0.2,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.07,0.056
"12",14,8,60,"(0, 0.25)","(0.1, 0.1)",0.005,0.5,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.07,0.057
"13",3,8,60,"(0, 0.4)","(0.05, 0.1)",0.005,0.2,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.072,0.059
"14",12,8,60,"(0, 0.4)","(0.05, 0.1)",0.005,0.5,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.067,0.052
"15",9,8,60,"(0, 0.4)","(0.1, 0.05)",0.005,0.2,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.076,0.062
"16",18,8,60,"(0, 0.4)","(0.1, 0.05)",0.005,0.5,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.084,0.069
"17",6,8,60,"(0, 0.4)","(0.1, 0.1)",0.005,0.2,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.072,0.059
"18",15,8,60,"(0, 0.4)","(0.1, 0.1)",0.005,0.5,"(1, 1)",NA,NA,NA,NA,NA,NA,NA,0.07,0.054
